epoch,train_mse,valid_mse
1,0.4440313130617142,0.22193630039691925
2,0.11599801182746887,0.0893690288066864
3,0.060591894388198855,0.06040842458605766
4,0.04712800830602646,0.023386448621749878
5,0.0334419421851635,0.03911815956234932
6,0.023032184690237045,0.021449459716677666
7,0.015798968821763994,0.024488961324095726
8,0.014447650127112865,0.01590023934841156
9,0.013481895253062249,0.01846851035952568
10,0.012105849385261536,0.01713288575410843
11,0.01162709854543209,0.018982792273163795
12,0.011416929960250854,0.014604590833187103
13,0.009349869936704636,0.014663197100162506
14,0.010176965966820717,0.014701512642204762
15,0.008945457264780998,0.018467416986823082
16,0.008804212138056756,0.01630505919456482
17,0.007261601276695728,0.01819518208503723
18,0.008457914926111698,0.01757095754146576
19,0.006273373495787382,0.019908633083105087
20,0.007808252796530723,0.01814277097582817
21,0.006862605456262827,0.019199421629309654
22,0.007246480602771044,0.01888449490070343
