epoch,train_mse,valid_mse
1,2.6551162203152976,0.22941532731056213
2,0.5932421882947286,0.2736209034919739
3,0.4325605498419868,0.11523207277059555
4,0.3485743006070455,0.146808460354805
5,0.31022609273592633,0.1726185828447342
6,0.34668999662001926,0.17225340008735657
7,0.2666858633359273,0.14822882413864136
8,0.24780101246303982,0.11308387666940689
9,0.2375895231962204,0.10543209314346313
10,0.21628962208827338,0.10411795228719711
11,0.21892309271627003,0.09980157762765884
12,0.17163937290509543,0.0972171351313591
13,0.1724121059394545,0.09257339686155319
14,0.17350951292448574,0.10261879116296768
15,0.15563668641779158,0.13640867173671722
16,0.14640327915549278,0.14142899215221405
17,0.13612368889153004,0.14277061820030212
18,0.139144500096639,0.1825876533985138
19,0.1412515574031406,0.22431181371212006
20,0.1316685491344995,0.1567760556936264
21,0.1540657737188869,0.1253461092710495
22,0.1348662343290117,0.16680611670017242
23,0.15061757299635145,0.1991773098707199
