epoch,train_mse,valid_mse
1,0.5910372618171904,0.10163503885269165
2,0.08534087902969784,0.14567036926746368
3,0.07647998030814859,0.048539698123931885
4,0.03736178825298945,0.04657607153058052
5,0.040478568938043386,0.06812195479869843
6,0.03743042631281747,0.04740742966532707
7,0.016327515865365665,0.024202978238463402
8,0.02650918894343906,0.02357478439807892
9,0.017743348350955382,0.03523355349898338
10,0.015283571556210518,0.026748234406113625
11,0.01187238097190857,0.025186872109770775
12,0.015682820023761854,0.030613917857408524
13,0.008725924003455374,0.03155346214771271
14,0.010502067911956046,0.030209053307771683
15,0.008929753055175146,0.027062712237238884
16,0.009737672491206063,0.025726264342665672
17,0.007685104074577491,0.025604594498872757
18,0.007392470000518693,0.02382444217801094
