number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
34,0.0776153502450091,2025-10-12 10:23:04.917194,2025-10-12 10:23:10.942995,0 days 00:00:06.025801,96,0.4462238298121336,192,3,0.00375608317355095,30,5,PRUNED
35,0.004947267278718452,2025-10-12 10:23:10.943938,2025-10-12 10:23:13.849789,0 days 00:00:02.905851,32,0.4791994250592436,64,3,0.0026874629492960583,45,28,COMPLETE
36,0.00821947492659092,2025-10-12 10:23:13.850709,2025-10-12 10:23:15.926009,0 days 00:00:02.075300,32,0.43899088073307,64,3,0.0021133992253893814,45,28,PRUNED
37,0.05345851555466652,2025-10-12 10:23:15.926759,2025-10-12 10:23:17.958217,0 days 00:00:02.031458,32,0.49025508096297093,192,3,0.00265157656153152,90,7,PRUNED
38,0.007786758467166995,2025-10-12 10:23:17.959056,2025-10-12 10:23:22.592727,0 days 00:00:04.633671,16,0.454747008379719,128,3,0.0048122999468901955,45,28,COMPLETE
39,0.051372914126625764,2025-10-12 10:23:22.593649,2025-10-12 10:23:24.618461,0 days 00:00:02.024812,16,0.48630730777355397,96,2,0.00047647116286954485,45,10,PRUNED
40,0.06851945072412491,2025-10-12 10:23:24.619235,2025-10-12 10:23:26.316881,0 days 00:00:01.697646,64,0.4447035612992835,64,2,0.0016126425659982759,30,10,PRUNED
41,0.007075836881995201,2025-10-12 10:23:26.317607,2025-10-12 10:23:29.073113,0 days 00:00:02.755506,128,0.3005113914082803,64,3,0.003973439182452268,45,14,PRUNED
42,0.009664737619459629,2025-10-12 10:23:29.073939,2025-10-12 10:23:31.158125,0 days 00:00:02.084186,32,0.39987593306779323,128,3,0.002687164743172737,45,21,PRUNED
43,0.0028356648981571198,2025-10-12 10:23:31.158923,2025-10-12 10:23:33.408925,0 days 00:00:02.250002,48,0.4442027876508984,64,3,0.004023539453809828,30,28,PRUNED
44,0.02426639385521412,2025-10-12 10:23:33.409942,2025-10-12 10:23:35.866213,0 days 00:00:02.456271,64,0.4595894715203715,160,2,0.002153744768013613,45,14,PRUNED
45,0.04347208887338638,2025-10-12 10:23:35.867231,2025-10-12 10:23:37.827023,0 days 00:00:01.959792,32,0.48883412869097925,160,3,0.0012253628617253625,45,10,PRUNED
46,0.0034672145878798083,2025-10-12 10:23:37.827807,2025-10-12 10:23:40.698967,0 days 00:00:02.871160,16,0.3497508430831105,160,3,0.002799143760882544,45,14,PRUNED
47,0.04682156816124916,2025-10-12 10:23:40.699782,2025-10-12 10:23:42.543359,0 days 00:00:01.843577,96,0.25023592596628796,128,3,0.0026322802544910748,60,10,PRUNED
48,0.008778861646230022,2025-10-12 10:23:42.544217,2025-10-12 10:23:45.637071,0 days 00:00:03.092854,128,0.4561960221977994,192,3,0.002914898709866525,45,21,COMPLETE
49,0.08016163166176316,2025-10-12 10:23:45.637960,2025-10-12 10:23:54.112214,0 days 00:00:08.474254,32,0.4428033319963013,96,3,0.0018160270288505754,60,5,PRUNED
50,0.007447051350027323,2025-10-12 10:23:54.113057,2025-10-12 10:23:56.254810,0 days 00:00:02.141753,96,0.348907493815962,96,3,0.003396761030292655,60,14,PRUNED
51,0.058977529406547546,2025-10-12 10:23:56.255621,2025-10-12 10:23:58.152747,0 days 00:00:01.897126,48,0.12085628218772379,96,3,0.004718286499429315,45,10,PRUNED
52,0.005089265294373035,2025-10-12 10:23:58.153550,2025-10-12 10:24:00.776467,0 days 00:00:02.622917,48,0.0907447089789056,96,3,0.0038042070093332685,90,21,PRUNED
53,0.04564930498600006,2025-10-12 10:24:00.777575,2025-10-12 10:24:03.000764,0 days 00:00:02.223189,64,0.02580877268459783,96,2,0.002338867799183308,45,21,PRUNED
54,0.007459461242736627,2025-10-12 10:24:03.001521,2025-10-12 10:24:06.232208,0 days 00:00:03.230687,48,0.09824657895102391,192,3,0.004705297219722394,45,21,COMPLETE
55,0.04146545007824898,2025-10-12 10:24:06.233135,2025-10-12 10:24:07.998754,0 days 00:00:01.765619,96,0.28681324169702616,64,3,0.002293324495694209,45,7,PRUNED
56,0.010226916983452058,2025-10-12 10:24:07.999529,2025-10-12 10:24:11.925445,0 days 00:00:03.925916,16,0.01987178385270401,96,3,0.0038775023044807424,30,21,COMPLETE
57,0.006471256725490093,2025-10-12 10:24:11.926267,2025-10-12 10:24:14.740305,0 days 00:00:02.814038,96,0.22670151374474523,96,3,0.004540336043869335,45,21,COMPLETE
58,0.030584188178181648,2025-10-12 10:24:14.741344,2025-10-12 10:24:16.819756,0 days 00:00:02.078412,96,0.18529777362661196,96,3,0.004607909038516998,45,21,PRUNED
59,0.05099380761384964,2025-10-12 10:24:16.820465,2025-10-12 10:24:18.524846,0 days 00:00:01.704381,64,0.4099655224628267,64,3,0.0005663320677432011,45,14,PRUNED
60,0.009140404872596264,2025-10-12 10:24:18.525580,2025-10-12 10:24:20.807804,0 days 00:00:02.282224,48,0.3934067619382105,128,3,0.0032342193522109266,60,14,PRUNED
61,0.01510367076843977,2025-10-12 10:24:20.808660,2025-10-12 10:24:22.980221,0 days 00:00:02.171561,128,0.4833982347941214,160,3,0.0020598754518016673,45,14,PRUNED
