number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
34,0.23973938822746277,2025-10-12 10:17:28.822966,2025-10-12 10:17:30.632187,0 days 00:00:01.809221,16,0.3370315619031664,128,3,0.00040281946837758575,45,28,PRUNED
35,0.03254562492171923,2025-10-12 10:17:30.633006,2025-10-12 10:17:33.864710,0 days 00:00:03.231704,16,0.4828750594025492,128,3,0.0033234668693234415,30,28,COMPLETE
36,0.12580106517782919,2025-10-12 10:17:33.865917,2025-10-12 10:17:36.343177,0 days 00:00:02.477260,16,0.4358848824714482,128,3,0.004420323617328849,30,7,PRUNED
37,0.21094226670205393,2025-10-12 10:17:36.344052,2025-10-12 10:17:42.818565,0 days 00:00:06.474513,48,0.12480397657301529,64,3,0.0037078067237032324,45,5,PRUNED
38,0.1961127668619156,2025-10-12 10:17:42.819346,2025-10-12 10:17:44.619840,0 days 00:00:01.800494,48,0.42671236710129085,128,3,0.0012601621364996668,90,21,PRUNED
39,0.17856986820697784,2025-10-12 10:17:44.620576,2025-10-12 10:17:46.619714,0 days 00:00:01.999138,48,0.4471282140614742,192,3,0.002849872367222881,30,28,PRUNED
40,0.07186539222796758,2025-10-12 10:17:46.621266,2025-10-12 10:17:49.924684,0 days 00:00:03.303418,16,0.48903954428248636,96,2,0.004755270984460294,30,28,COMPLETE
41,0.1368553340435028,2025-10-12 10:17:49.925676,2025-10-12 10:17:51.694361,0 days 00:00:01.768685,16,0.3710198628544932,128,2,0.0010002941558028766,30,28,PRUNED
42,0.09694993385562191,2025-10-12 10:17:51.695142,2025-10-12 10:17:53.725019,0 days 00:00:02.029877,16,0.40181599443908367,128,3,0.0008336013399521013,30,10,PRUNED
43,0.0465839565731585,2025-10-12 10:17:53.725813,2025-10-12 10:17:56.065776,0 days 00:00:02.339963,16,0.13112409243899803,96,3,0.001162033440329866,45,21,PRUNED
44,0.02964756265282631,2025-10-12 10:17:56.066635,2025-10-12 10:18:00.205238,0 days 00:00:04.138603,16,0.48039735978244996,128,3,0.0009866600784640283,30,28,COMPLETE
45,0.035864026906589665,2025-10-12 10:18:00.206269,2025-10-12 10:18:03.951664,0 days 00:00:03.745395,128,0.48854716083372246,128,3,0.0045271639612671916,90,28,COMPLETE
46,0.25362062454223633,2025-10-12 10:18:03.952569,2025-10-12 10:18:05.600775,0 days 00:00:01.648206,128,0.34362511144638763,160,3,0.0007840726377214007,30,14,PRUNED
