epoch,train_mse,valid_mse
1,2.033662372165256,0.3342665135860443
2,0.5987929271327125,0.09604687988758087
3,0.1359920965300666,0.29514357447624207
4,0.14845184216068852,0.016479527577757835
5,0.07090645283460617,0.05099588632583618
6,0.09144244361151424,0.006978717632591724
7,0.034773383082615,0.06465025991201401
8,0.07680602537261115,0.04260384663939476
9,0.03539388388809231,0.007058033253997564
10,0.042112267265717186,0.021386675536632538
11,0.04361740960222152,0.004811587277799845
12,0.020830012443992827,0.01755577325820923
13,0.025406841706070635,0.029469270259141922
14,0.03554907772276136,0.008802230469882488
15,0.026557511339584988,0.005348609294742346
16,0.02382353486286269,0.00639859214425087
17,0.022471131549941167,0.00951327569782734
18,0.019266572677426867,0.009723729453980923
19,0.01813856553700235,0.008341055363416672
20,0.018039023503661156,0.00847011711448431
21,0.019372151957617864,0.010553491301834583
