epoch,train_mse,valid_mse
1,0.5123636466964708,0.3068889184537048
2,0.40403681933826824,0.33503432228358204
3,0.46203957126870276,0.31946964642244896
4,0.3994368150883298,0.3340679332613945
5,0.3382772665431067,0.2971816758909625
6,0.32417951322747296,0.3781520731434851
7,0.29373820948006846,0.3374540549730826
8,0.28017985640471516,0.29195243298650503
9,0.24664425298412498,0.36009952515185234
10,0.23434437320856014,0.4172384899533437
11,0.2207120008156817,0.31943564125877655
12,0.21514726310862342,0.3684672834630498
13,0.21673923261543185,0.46639524319928566
14,0.1864579341165536,0.3658055487328661
15,0.20982753297188103,0.48387613892555237
16,0.18603014283120844,0.37382121464449486
17,0.15471130118993678,0.44140911994580023
18,0.1325861357709267,0.42606013674222065
