epoch,train_mse,valid_mse
1,0.4523412544956411,0.4567014621403403
2,0.40585856304049917,0.48806759411703327
3,0.3758670598586683,0.5326823261148201
4,0.3525718158886526,0.5036930683665647
5,0.3264488595872587,0.5499879898068434
6,0.31354087813893244,0.46979649141876995
7,0.27970146104110094,0.5363529672076602
8,0.2665411286931021,0.6109167329387036
9,0.2564749725136468,0.489164113106128
10,0.227750713184635,0.41782273316454743
11,0.22910545792868128,0.5385550683486962
12,0.20948272911679278,0.5416658868689737
13,0.20638530412390563,0.43482750712219115
14,0.1870453286637615,0.5321172150576899
15,0.17809446134813314,0.4721113611124233
16,0.17527767252243287,0.44073288321138143
17,0.16434015464236515,0.47029893015494606
18,0.15945513498740688,0.5537474142041748
19,0.1437983158644408,0.5918237351907227
20,0.12890052463978635,0.5123619199423732
