epoch,train_mse,valid_mse
1,0.8393266744036691,0.7068813148729816
2,0.7432721632655405,0.6708761874787108
3,0.717646673480811,0.642966171046217
4,0.6831735714580665,0.644099099996561
5,0.6641761355128577,0.6099943363381003
6,0.6341139252075522,0.6027260060438853
7,0.5943228009544658,0.5764754429727257
8,0.5819789805446232,0.5395189521912329
9,0.5286347513680356,0.5701301312018298
10,0.5186944374834516,0.5017138283231302
11,0.46612782267276925,0.5446365710325584
12,0.4583121516950614,0.49590874378552696
13,0.429791612053469,0.4541265085607232
14,0.4119755600005706,0.4866759516521842
15,0.3931161922492166,0.49402987430552525
16,0.41092836215190615,0.4887527346075652
17,0.39872080607346366,0.4682559543205592
18,0.34977754961129187,0.43459582052188006
19,0.3505942936045419,0.4605824019380672
20,0.3619832787861603,0.46303509037473245
21,0.3784787984717359,0.5653525251828267
22,0.413316759350461,0.7017927760492542
23,0.340189752311469,0.4653864610873297
24,0.32092145901982044,0.46317373809521784
25,0.3173361990163335,0.452933381194483
26,0.31331857784362876,0.4218649139661275
27,0.3081858358561356,0.42723932143992294
28,0.31420421438603213,0.4267719428160947
29,0.3078474497614806,0.4729387298850956
30,0.30435085503444126,0.46292581770591396
31,0.30598981561821975,0.42039096739120824
32,0.29877758063243376,0.44495428902303386
33,0.2980098634746151,0.4347046977745559
34,0.3008395381987731,0.43945592927361676
35,0.29930457297805363,0.4333471218625942
36,0.29494826087323794,0.4370884999722064
37,0.3001811453456132,0.4534507112767168
38,0.2987280888383499,0.4327779439038145
39,0.2893784169200476,0.431423923034154
40,0.28627741023951153,0.5232447882790765
41,0.28908314600958096,0.46235805732047486
