epoch,train_mse,valid_mse
1,2.993083953857422,1.089544653892517
2,1.2493352890014648,0.07366884499788284
3,0.20887818932533264,0.9896395802497864
4,0.9052800536155701,0.34848329424858093
5,0.32341012358665466,0.06897079944610596
6,0.09935598075389862,0.35660839080810547
7,0.38368019461631775,0.2956111431121826
8,0.30795565247535706,0.10671360790729523
9,0.09383683651685715,0.06886914372444153
10,0.031142404302954674,0.15079264342784882
11,0.09603101015090942,0.20680832862854004
12,0.15201707184314728,0.1809505969285965
13,0.1332358866930008,0.11923473328351974
14,0.060789622366428375,0.08348576724529266
15,0.021251818165183067,0.09432920813560486
16,0.031600650399923325,0.1269618421792984
17,0.06687197834253311,0.14618778228759766
18,0.08242568373680115,0.1388017237186432
19,0.07388591766357422,0.11430148035287857
