number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
34,0.05756827955188665,2025-10-14 01:23:49.911872,2025-10-14 01:25:18.571981,0 days 00:01:28.660109,32,0.08985224015357243,96,3,0.00012415463488189724,90,14,COMPLETE
35,0.07342203987426445,2025-10-14 01:25:18.572965,2025-10-14 01:25:58.605330,0 days 00:00:40.032365,32,0.15372319094971054,160,2,0.00021686295165633304,90,10,PRUNED
36,0.055982586563724825,2025-10-14 01:25:58.606183,2025-10-14 01:26:54.804515,0 days 00:00:56.198332,128,0.1480993964548179,160,2,0.00011994636950759102,90,14,COMPLETE
37,0.05680765003649221,2025-10-14 01:26:54.805707,2025-10-14 01:27:44.185881,0 days 00:00:49.380174,128,0.13313738856282675,160,1,0.0001503192144700301,90,14,COMPLETE
38,0.05896970915380376,2025-10-14 01:27:44.186876,2025-10-14 01:28:33.775418,0 days 00:00:49.588542,128,0.08726049280012033,160,3,0.00020561401158556737,90,14,COMPLETE
39,0.058967831547910216,2025-10-14 01:28:33.776468,2025-10-14 01:29:27.955161,0 days 00:00:54.178693,128,0.32438907575451625,64,2,0.00015857130111668723,90,14,COMPLETE
40,0.056698020260637694,2025-10-14 01:29:27.956145,2025-10-14 01:30:20.958125,0 days 00:00:53.001980,64,0.07173870710302874,192,2,0.00012633042678994943,90,14,COMPLETE
41,0.07307682163938631,2025-10-14 01:30:20.959146,2025-10-14 01:30:45.837476,0 days 00:00:24.878330,64,0.06590277726658314,192,2,0.000167261267763183,90,7,PRUNED
42,0.05669106066068456,2025-10-14 01:30:45.838293,2025-10-14 01:31:51.144366,0 days 00:01:05.306073,64,0.05138709959812025,64,2,0.00010955053368868181,90,14,COMPLETE
43,0.06087014470401556,2025-10-14 01:31:51.145295,2025-10-14 01:32:43.485926,0 days 00:00:52.340631,96,0.13410101666719268,64,2,0.00022004814181039614,90,14,COMPLETE
44,0.05873579640834897,2025-10-14 01:32:43.486875,2025-10-14 01:33:40.150399,0 days 00:00:56.663524,32,0.2453159086223162,160,2,0.00012261800016373874,90,14,COMPLETE
45,0.057176471585954125,2025-10-14 01:33:40.152335,2025-10-14 01:34:43.063933,0 days 00:01:02.911598,64,0.021272271210047156,64,2,0.00015655959841131623,90,14,COMPLETE
46,0.08579803758520421,2025-10-14 01:34:43.065015,2025-10-14 01:35:03.949385,0 days 00:00:20.884370,64,0.3880181391226533,160,1,0.00034486552670490937,45,5,PRUNED
47,0.06167398295105483,2025-10-14 01:35:03.950168,2025-10-14 01:35:47.760346,0 days 00:00:43.810178,32,0.2653278416823285,192,2,0.00013845620312320577,60,14,COMPLETE
48,0.07129668491685019,2025-10-14 01:35:47.761347,2025-10-14 01:36:06.441196,0 days 00:00:18.679849,128,0.3032501769568273,160,2,0.00022827133782325531,30,10,PRUNED
49,0.06385037049273688,2025-10-14 01:36:06.441953,2025-10-14 01:37:15.622323,0 days 00:01:09.180370,48,0.13137339585263733,64,2,0.00019789479928235436,90,5,COMPLETE
50,0.057948636405463896,2025-10-14 01:37:15.623699,2025-10-14 01:37:36.172971,0 days 00:00:20.549272,128,0.030290257522437747,64,2,0.0002226666553566875,75,14,PRUNED
