epoch,train_mse,valid_mse
1,0.15190633438157697,0.03395586940977308
2,0.08369403550176756,0.0464604736202293
3,0.07401263592038171,0.03393029554022683
4,0.06559648447214289,0.04043581038713455
5,0.06521477021858202,0.04471147093507979
6,0.06403476537621401,0.038396170073085364
7,0.057841769642863715,0.04100118627150853
8,0.05614055741763284,0.04494536883301205
9,0.06751165061872057,0.0377112305826611
10,0.055564651210257346,0.04380165305402544
11,0.05556740792507821,0.04984367241462072
12,0.07020577789409786,0.0433008450600836
13,0.05422243642891553,0.038638262864616184
14,0.050780023185285274,0.045578011125326154
15,0.050673467618353826,0.048280319571495055
16,0.048736182499861884,0.04303222282065285
17,0.045751580585401956,0.044497223363982305
18,0.04421863874803621,0.050252488421069254
